"step","time","S","I","R"
260,260,17439,1,82570
261,261,17439,1,82570
262,262,17439,1,82570
263,263,17439,1,82570
264,264,17439,1,82570
265,265,17439,1,82570
266,266,17439,1,82570
267,267,17439,1,82570
268,268,17439,1,82570
269,269,17439,1,82570
270,270,17439,1,82570
271,271,17439,1,82570
272,272,17439,1,82570
273,273,17439,1,82570
274,274,17439,1,82570
275,275,17439,0,82571
276,276,17439,0,82571
277,277,17439,0,82571
278,278,17439,0,82571
279,279,17439,0,82571
280,280,17439,0,82571
281,281,17439,0,82571
282,282,17439,0,82571
283,283,17439,0,82571
284,284,17439,0,82571
285,285,17439,0,82571
286,286,17439,0,82571
287,287,17439,0,82571
288,288,17439,0,82571
289,289,17439,0,82571
290,290,17439,0,82571
291,291,17439,0,82571
292,292,17439,0,82571
293,293,17439,0,82571
294,294,17439,0,82571
295,295,17439,0,82571
296,296,17439,0,82571
297,297,17439,0,82571
298,298,17439,0,82571
299,299,17439,0,82571
300,300,17439,0,82571
301,301,17439,0,82571
302,302,17439,0,82571
303,303,17439,0,82571
304,304,17439,0,82571
305,305,17439,0,82571
306,306,17439,0,82571
307,307,17439,0,82571
308,308,17439,0,82571
309,309,17439,0,82571
310,310,17439,0,82571
311,311,17439,0,82571
312,312,17439,0,82571
313,313,17439,0,82571
314,314,17439,0,82571
315,315,17439,0,82571
316,316,17439,0,82571
317,317,17439,0,82571
318,318,17439,0,82571
319,319,17439,0,82571
320,320,17439,0,82571
321,321,17439,0,82571
322,322,17439,0,82571
323,323,17439,0,82571
324,324,17439,0,82571
325,325,17439,0,82571
326,326,17439,0,82571
327,327,17439,0,82571
328,328,17439,0,82571
329,329,17439,0,82571
330,330,17439,0,82571
331,331,17439,0,82571
332,332,17439,0,82571
333,333,17439,0,82571
334,334,17439,0,82571
335,335,17439,0,82571
336,336,17439,0,82571
337,337,17439,0,82571
338,338,17439,0,82571
339,339,17439,0,82571
340,340,17439,0,82571
341,341,17439,0,82571
342,342,17439,0,82571
343,343,17439,0,82571
344,344,17439,0,82571
345,345,17439,0,82571
346,346,17439,0,82571
347,347,17439,0,82571
348,348,17439,0,82571
349,349,17439,0,82571
350,350,17439,0,82571
351,351,17439,0,82571
352,352,17439,0,82571
353,353,17439,0,82571
354,354,17439,0,82571
355,355,17439,0,82571
356,356,17439,0,82571
357,357,17439,0,82571
358,358,17439,0,82571
359,359,17439,0,82571
360,360,17439,0,82571
361,361,17439,0,82571
362,362,17439,0,82571
363,363,17439,0,82571
364,364,17439,0,82571
365,365,17439,0,82571
366,366,17439,0,82571
367,367,17439,0,82571
368,368,17439,0,82571
369,369,17439,0,82571
370,370,17439,0,82571
371,371,17439,0,82571
372,372,17439,0,82571
373,373,17439,0,82571
374,374,17439,0,82571
375,375,17439,0,82571
376,376,17439,0,82571
377,377,17439,0,82571
378,378,17439,0,82571
379,379,17439,0,82571
380,380,17439,0,82571
381,381,17439,0,82571
382,382,17439,0,82571
383,383,17439,0,82571
384,384,17439,0,82571
385,385,17439,0,82571
386,386,17439,0,82571
387,387,17439,0,82571
388,388,17439,0,82571
389,389,17439,0,82571
390,390,17439,0,82571
391,391,17439,0,82571
392,392,17439,0,82571
393,393,17439,0,82571
394,394,17439,0,82571
395,395,17439,0,82571
396,396,17439,0,82571
397,397,17439,0,82571
398,398,17439,0,82571
399,399,17439,0,82571
400,400,17439,0,82571
401,401,17439,0,82571
402,402,17439,0,82571
403,403,17439,0,82571
404,404,17439,0,82571
405,405,17439,0,82571
406,406,17439,0,82571
407,407,17439,0,82571
408,408,17439,0,82571
409,409,17439,0,82571
410,410,17439,0,82571
411,411,17439,0,82571
412,412,17439,0,82571
413,413,17439,0,82571
414,414,17439,0,82571
415,415,17439,0,82571
416,416,17439,0,82571
417,417,17439,0,82571
418,418,17439,0,82571
419,419,17439,0,82571
420,420,17439,0,82571
421,421,17439,0,82571
