"step","time","S","I","R"
1132,1132,17439,0,82571
1133,1133,17439,0,82571
1134,1134,17439,0,82571
1135,1135,17439,0,82571
1136,1136,17439,0,82571
1137,1137,17439,0,82571
1138,1138,17439,0,82571
1139,1139,17439,0,82571
1140,1140,17439,0,82571
1141,1141,17439,0,82571
1142,1142,17439,0,82571
1143,1143,17439,0,82571
1144,1144,17439,0,82571
1145,1145,17439,0,82571
1146,1146,17439,0,82571
1147,1147,17439,0,82571
1148,1148,17439,0,82571
1149,1149,17439,0,82571
1150,1150,17439,0,82571
1151,1151,17439,0,82571
1152,1152,17439,0,82571
1153,1153,17439,0,82571
1154,1154,17439,0,82571
1155,1155,17439,0,82571
1156,1156,17439,0,82571
1157,1157,17439,0,82571
1158,1158,17439,0,82571
1159,1159,17439,0,82571
1160,1160,17439,0,82571
1161,1161,17439,0,82571
1162,1162,17439,0,82571
1163,1163,17439,0,82571
1164,1164,17439,0,82571
1165,1165,17439,0,82571
1166,1166,17439,0,82571
1167,1167,17439,0,82571
1168,1168,17439,0,82571
1169,1169,17439,0,82571
1170,1170,17439,0,82571
1171,1171,17439,0,82571
1172,1172,17439,0,82571
1173,1173,17439,0,82571
1174,1174,17439,0,82571
1175,1175,17439,0,82571
1176,1176,17439,0,82571
1177,1177,17439,0,82571
1178,1178,17439,0,82571
1179,1179,17439,0,82571
1180,1180,17439,0,82571
1181,1181,17439,0,82571
1182,1182,17439,0,82571
1183,1183,17439,0,82571
1184,1184,17439,0,82571
1185,1185,17439,0,82571
1186,1186,17439,0,82571
1187,1187,17439,0,82571
1188,1188,17439,0,82571
1189,1189,17439,0,82571
1190,1190,17439,0,82571
1191,1191,17439,0,82571
1192,1192,17439,0,82571
1193,1193,17439,0,82571
1194,1194,17439,0,82571
1195,1195,17439,0,82571
1196,1196,17439,0,82571
1197,1197,17439,0,82571
1198,1198,17439,0,82571
1199,1199,17439,0,82571
1200,1200,17439,0,82571
1201,1201,17439,0,82571
1202,1202,17439,0,82571
1203,1203,17439,0,82571
1204,1204,17439,0,82571
1205,1205,17439,0,82571
1206,1206,17439,0,82571
1207,1207,17439,0,82571
1208,1208,17439,0,82571
1209,1209,17439,0,82571
1210,1210,17439,0,82571
1211,1211,17439,0,82571
1212,1212,17439,0,82571
1213,1213,17439,0,82571
1214,1214,17439,0,82571
1215,1215,17439,0,82571
1216,1216,17439,0,82571
1217,1217,17439,0,82571
1218,1218,17439,0,82571
1219,1219,17439,0,82571
1220,1220,17439,0,82571
1221,1221,17439,0,82571
1222,1222,17439,0,82571
1223,1223,17439,0,82571
1224,1224,17439,0,82571
1225,1225,17439,0,82571
1226,1226,17439,0,82571
1227,1227,17439,0,82571
1228,1228,17439,0,82571
1229,1229,17439,0,82571
1230,1230,17439,0,82571
1231,1231,17439,0,82571
1232,1232,17439,0,82571
1233,1233,17439,0,82571
1234,1234,17439,0,82571
1235,1235,17439,0,82571
1236,1236,17439,0,82571
1237,1237,17439,0,82571
1238,1238,17439,0,82571
1239,1239,17439,0,82571
1240,1240,17439,0,82571
1241,1241,17439,0,82571
1242,1242,17439,0,82571
1243,1243,17439,0,82571
1244,1244,17439,0,82571
1245,1245,17439,0,82571
1246,1246,17439,0,82571
1247,1247,17439,0,82571
1248,1248,17439,0,82571
1249,1249,17439,0,82571
1250,1250,17439,0,82571
1251,1251,17439,0,82571
1252,1252,17439,0,82571
1253,1253,17439,0,82571
1254,1254,17439,0,82571
1255,1255,17439,0,82571
1256,1256,17439,0,82571
1257,1257,17439,0,82571
1258,1258,17439,0,82571
1259,1259,17439,0,82571
1260,1260,17439,0,82571
1261,1261,17439,0,82571
1262,1262,17439,0,82571
1263,1263,17439,0,82571
1264,1264,17439,0,82571
1265,1265,17439,0,82571
1266,1266,17439,0,82571
1267,1267,17439,0,82571
1268,1268,17439,0,82571
1269,1269,17439,0,82571
1270,1270,17439,0,82571
1271,1271,17439,0,82571
1272,1272,17439,0,82571
1273,1273,17439,0,82571
1274,1274,17439,0,82571
1275,1275,17439,0,82571
1276,1276,17439,0,82571
1277,1277,17439,0,82571
1278,1278,17439,0,82571
1279,1279,17439,0,82571
1280,1280,17439,0,82571
1281,1281,17439,0,82571
1282,1282,17439,0,82571
1283,1283,17439,0,82571
1284,1284,17439,0,82571
1285,1285,17439,0,82571
1286,1286,17439,0,82571
1287,1287,17439,0,82571
1288,1288,17439,0,82571
1289,1289,17439,0,82571
1290,1290,17439,0,82571
1291,1291,17439,0,82571
1292,1292,17439,0,82571
1293,1293,17439,0,82571
1294,1294,17439,0,82571
1295,1295,17439,0,82571
1296,1296,17439,0,82571
1297,1297,17439,0,82571
1298,1298,17439,0,82571
1299,1299,17439,0,82571
1300,1300,17439,0,82571
1301,1301,17439,0,82571
1302,1302,17439,0,82571
1303,1303,17439,0,82571
1304,1304,17439,0,82571
1305,1305,17439,0,82571
1306,1306,17439,0,82571
1307,1307,17439,0,82571
1308,1308,17439,0,82571
1309,1309,17439,0,82571
1310,1310,17439,0,82571
1311,1311,17439,0,82571
1312,1312,17439,0,82571
1313,1313,17439,0,82571
1314,1314,17439,0,82571
1315,1315,17439,0,82571
1316,1316,17439,0,82571
1317,1317,17439,0,82571
1318,1318,17439,0,82571
1319,1319,17439,0,82571
1320,1320,17439,0,82571
1321,1321,17439,0,82571
1322,1322,17439,0,82571
1323,1323,17439,0,82571
1324,1324,17439,0,82571
1325,1325,17439,0,82571
1326,1326,17439,0,82571
1327,1327,17439,0,82571
1328,1328,17439,0,82571
1329,1329,17439,0,82571
1330,1330,17439,0,82571
1331,1331,17439,0,82571
1332,1332,17439,0,82571
1333,1333,17439,0,82571
1334,1334,17439,0,82571
1335,1335,17439,0,82571
1336,1336,17439,0,82571
1337,1337,17439,0,82571
1338,1338,17439,0,82571
1339,1339,17439,0,82571
1340,1340,17439,0,82571
1341,1341,17439,0,82571
1342,1342,17439,0,82571
1343,1343,17439,0,82571
1344,1344,17439,0,82571
1345,1345,17439,0,82571
1346,1346,17439,0,82571
1347,1347,17439,0,82571
1348,1348,17439,0,82571
1349,1349,17439,0,82571
1350,1350,17439,0,82571
1351,1351,17439,0,82571
1352,1352,17439,0,82571
1353,1353,17439,0,82571
1354,1354,17439,0,82571
1355,1355,17439,0,82571
1356,1356,17439,0,82571
1357,1357,17439,0,82571
1358,1358,17439,0,82571
1359,1359,17439,0,82571
1360,1360,17439,0,82571
1361,1361,17439,0,82571
1362,1362,17439,0,82571
1363,1363,17439,0,82571
1364,1364,17439,0,82571
1365,1365,17439,0,82571
1366,1366,17439,0,82571
1367,1367,17439,0,82571
1368,1368,17439,0,82571
1369,1369,17439,0,82571
1370,1370,17439,0,82571
1371,1371,17439,0,82571
1372,1372,17439,0,82571
1373,1373,17439,0,82571
1374,1374,17439,0,82571
1375,1375,17439,0,82571
1376,1376,17439,0,82571
1377,1377,17439,0,82571
1378,1378,17439,0,82571
1379,1379,17439,0,82571
1380,1380,17439,0,82571
1381,1381,17439,0,82571
1382,1382,17439,0,82571
1383,1383,17439,0,82571
1384,1384,17439,0,82571
1385,1385,17439,0,82571
1386,1386,17439,0,82571
1387,1387,17439,0,82571
1388,1388,17439,0,82571
1389,1389,17439,0,82571
1390,1390,17439,0,82571
1391,1391,17439,0,82571
1392,1392,17439,0,82571
1393,1393,17439,0,82571
1394,1394,17439,0,82571
1395,1395,17439,0,82571
1396,1396,17439,0,82571
1397,1397,17439,0,82571
1398,1398,17439,0,82571
1399,1399,17439,0,82571
1400,1400,17439,0,82571
1401,1401,17439,0,82571
1402,1402,17439,0,82571
1403,1403,17439,0,82571
1404,1404,17439,0,82571
1405,1405,17439,0,82571
1406,1406,17439,0,82571
1407,1407,17439,0,82571
1408,1408,17439,0,82571
1409,1409,17439,0,82571
1410,1410,17439,0,82571
1411,1411,17439,0,82571
1412,1412,17439,0,82571
1413,1413,17439,0,82571
1414,1414,17439,0,82571
1415,1415,17439,0,82571
1416,1416,17439,0,82571
1417,1417,17439,0,82571
1418,1418,17439,0,82571
1419,1419,17439,0,82571
1420,1420,17439,0,82571
1421,1421,17439,0,82571
1422,1422,17439,0,82571
1423,1423,17439,0,82571
1424,1424,17439,0,82571
1425,1425,17439,0,82571
1426,1426,17439,0,82571
1427,1427,17439,0,82571
1428,1428,17439,0,82571
1429,1429,17439,0,82571
1430,1430,17439,0,82571
1431,1431,17439,0,82571
1432,1432,17439,0,82571
1433,1433,17439,0,82571
1434,1434,17439,0,82571
1435,1435,17439,0,82571
1436,1436,17439,0,82571
1437,1437,17439,0,82571
1438,1438,17439,0,82571
1439,1439,17439,0,82571
1440,1440,17439,0,82571
1441,1441,17439,0,82571
1442,1442,17439,0,82571
1443,1443,17439,0,82571
1444,1444,17439,0,82571
1445,1445,17439,0,82571
1446,1446,17439,0,82571
1447,1447,17439,0,82571
1448,1448,17439,0,82571
1449,1449,17439,0,82571
1450,1450,17439,0,82571
1451,1451,17439,0,82571
1452,1452,17439,0,82571
1453,1453,17439,0,82571
1454,1454,17439,0,82571
1455,1455,17439,0,82571
1456,1456,17439,0,82571
1457,1457,17439,0,82571
1458,1458,17439,0,82571
1459,1459,17439,0,82571
1460,1460,17439,0,82571
1461,1461,17439,0,82571
1462,1462,17439,0,82571
1463,1463,17439,0,82571
1464,1464,17439,0,82571
1465,1465,17439,0,82571
1466,1466,17439,0,82571
1467,1467,17439,0,82571
1468,1468,17439,0,82571
1469,1469,17439,0,82571
1470,1470,17439,0,82571
1471,1471,17439,0,82571
1472,1472,17439,0,82571
1473,1473,17439,0,82571
1474,1474,17439,0,82571
1475,1475,17439,0,82571
1476,1476,17439,0,82571
1477,1477,17439,0,82571
1478,1478,17439,0,82571
1479,1479,17439,0,82571
1480,1480,17439,0,82571
1481,1481,17439,0,82571
1482,1482,17439,0,82571
1483,1483,17439,0,82571
1484,1484,17439,0,82571
1485,1485,17439,0,82571
1486,1486,17439,0,82571
1487,1487,17439,0,82571
1488,1488,17439,0,82571
1489,1489,17439,0,82571
1490,1490,17439,0,82571
1491,1491,17439,0,82571
1492,1492,17439,0,82571
1493,1493,17439,0,82571
1494,1494,17439,0,82571
1495,1495,17439,0,82571
1496,1496,17439,0,82571
1497,1497,17439,0,82571
1498,1498,17439,0,82571
1499,1499,17439,0,82571
1500,1500,17439,0,82571
1501,1501,17439,0,82571
1502,1502,17439,0,82571
1503,1503,17439,0,82571
1504,1504,17439,0,82571
1505,1505,17439,0,82571
1506,1506,17439,0,82571
1507,1507,17439,0,82571
1508,1508,17439,0,82571
1509,1509,17439,0,82571
1510,1510,17439,0,82571
1511,1511,17439,0,82571
1512,1512,17439,0,82571
1513,1513,17439,0,82571
1514,1514,17439,0,82571
1515,1515,17439,0,82571
1516,1516,17439,0,82571
1517,1517,17439,0,82571
1518,1518,17439,0,82571
1519,1519,17439,0,82571
1520,1520,17439,0,82571
1521,1521,17439,0,82571
1522,1522,17439,0,82571
1523,1523,17439,0,82571
1524,1524,17439,0,82571
1525,1525,17439,0,82571
1526,1526,17439,0,82571
1527,1527,17439,0,82571
1528,1528,17439,0,82571
1529,1529,17439,0,82571
1530,1530,17439,0,82571
1531,1531,17439,0,82571
1532,1532,17439,0,82571
1533,1533,17439,0,82571
1534,1534,17439,0,82571
1535,1535,17439,0,82571
1536,1536,17439,0,82571
1537,1537,17439,0,82571
1538,1538,17439,0,82571
1539,1539,17439,0,82571
1540,1540,17439,0,82571
1541,1541,17439,0,82571
1542,1542,17439,0,82571
1543,1543,17439,0,82571
1544,1544,17439,0,82571
1545,1545,17439,0,82571
1546,1546,17439,0,82571
1547,1547,17439,0,82571
1548,1548,17439,0,82571
1549,1549,17439,0,82571
1550,1550,17439,0,82571
1551,1551,17439,0,82571
1552,1552,17439,0,82571
1553,1553,17439,0,82571
1554,1554,17439,0,82571
1555,1555,17439,0,82571
1556,1556,17439,0,82571
1557,1557,17439,0,82571
1558,1558,17439,0,82571
1559,1559,17439,0,82571
1560,1560,17439,0,82571
1561,1561,17439,0,82571
1562,1562,17439,0,82571
1563,1563,17439,0,82571
1564,1564,17439,0,82571
1565,1565,17439,0,82571
1566,1566,17439,0,82571
1567,1567,17439,0,82571
1568,1568,17439,0,82571
1569,1569,17439,0,82571
1570,1570,17439,0,82571
1571,1571,17439,0,82571
1572,1572,17439,0,82571
1573,1573,17439,0,82571
1574,1574,17439,0,82571
1575,1575,17439,0,82571
1576,1576,17439,0,82571
1577,1577,17439,0,82571
1578,1578,17439,0,82571
1579,1579,17439,0,82571
1580,1580,17439,0,82571
1581,1581,17439,0,82571
1582,1582,17439,0,82571
1583,1583,17439,0,82571
1584,1584,17439,0,82571
1585,1585,17439,0,82571
1586,1586,17439,0,82571
1587,1587,17439,0,82571
1588,1588,17439,0,82571
1589,1589,17439,0,82571
1590,1590,17439,0,82571
1591,1591,17439,0,82571
1592,1592,17439,0,82571
1593,1593,17439,0,82571
1594,1594,17439,0,82571
1595,1595,17439,0,82571
1596,1596,17439,0,82571
1597,1597,17439,0,82571
1598,1598,17439,0,82571
1599,1599,17439,0,82571
1600,1600,17439,0,82571
1601,1601,17439,0,82571
1602,1602,17439,0,82571
1603,1603,17439,0,82571
1604,1604,17439,0,82571
1605,1605,17439,0,82571
1606,1606,17439,0,82571
1607,1607,17439,0,82571
1608,1608,17439,0,82571
1609,1609,17439,0,82571
1610,1610,17439,0,82571
1611,1611,17439,0,82571
1612,1612,17439,0,82571
1613,1613,17439,0,82571
1614,1614,17439,0,82571
1615,1615,17439,0,82571
1616,1616,17439,0,82571
1617,1617,17439,0,82571
1618,1618,17439,0,82571
1619,1619,17439,0,82571
1620,1620,17439,0,82571
1621,1621,17439,0,82571
1622,1622,17439,0,82571
1623,1623,17439,0,82571
1624,1624,17439,0,82571
1625,1625,17439,0,82571
1626,1626,17439,0,82571
1627,1627,17439,0,82571
1628,1628,17439,0,82571
1629,1629,17439,0,82571
1630,1630,17439,0,82571
1631,1631,17439,0,82571
1632,1632,17439,0,82571
1633,1633,17439,0,82571
1634,1634,17439,0,82571
1635,1635,17439,0,82571
1636,1636,17439,0,82571
1637,1637,17439,0,82571
1638,1638,17439,0,82571
1639,1639,17439,0,82571
1640,1640,17439,0,82571
1641,1641,17439,0,82571
1642,1642,17439,0,82571
1643,1643,17439,0,82571
1644,1644,17439,0,82571
1645,1645,17439,0,82571
1646,1646,17439,0,82571
1647,1647,17439,0,82571
1648,1648,17439,0,82571
1649,1649,17439,0,82571
1650,1650,17439,0,82571
1651,1651,17439,0,82571
1652,1652,17439,0,82571
1653,1653,17439,0,82571
1654,1654,17439,0,82571
1655,1655,17439,0,82571
1656,1656,17439,0,82571
1657,1657,17439,0,82571
1658,1658,17439,0,82571
1659,1659,17439,0,82571
1660,1660,17439,0,82571
1661,1661,17439,0,82571
1662,1662,17439,0,82571
1663,1663,17439,0,82571
1664,1664,17439,0,82571
1665,1665,17439,0,82571
1666,1666,17439,0,82571
1667,1667,17439,0,82571
1668,1668,17439,0,82571
1669,1669,17439,0,82571
1670,1670,17439,0,82571
1671,1671,17439,0,82571
1672,1672,17439,0,82571
1673,1673,17439,0,82571
1674,1674,17439,0,82571
1675,1675,17439,0,82571
1676,1676,17439,0,82571
1677,1677,17439,0,82571
1678,1678,17439,0,82571
1679,1679,17439,0,82571
1680,1680,17439,0,82571
1681,1681,17439,0,82571
1682,1682,17439,0,82571
1683,1683,17439,0,82571
1684,1684,17439,0,82571
1685,1685,17439,0,82571
1686,1686,17439,0,82571
1687,1687,17439,0,82571
1688,1688,17439,0,82571
1689,1689,17439,0,82571
1690,1690,17439,0,82571
1691,1691,17439,0,82571
1692,1692,17439,0,82571
1693,1693,17439,0,82571
1694,1694,17439,0,82571
1695,1695,17439,0,82571
1696,1696,17439,0,82571
1697,1697,17439,0,82571
1698,1698,17439,0,82571
1699,1699,17439,0,82571
1700,1700,17439,0,82571
1701,1701,17439,0,82571
1702,1702,17439,0,82571
1703,1703,17439,0,82571
1704,1704,17439,0,82571
1705,1705,17439,0,82571
1706,1706,17439,0,82571
1707,1707,17439,0,82571
1708,1708,17439,0,82571
1709,1709,17439,0,82571
1710,1710,17439,0,82571
1711,1711,17439,0,82571
1712,1712,17439,0,82571
1713,1713,17439,0,82571
1714,1714,17439,0,82571
1715,1715,17439,0,82571
1716,1716,17439,0,82571
1717,1717,17439,0,82571
1718,1718,17439,0,82571
1719,1719,17439,0,82571
1720,1720,17439,0,82571
1721,1721,17439,0,82571
1722,1722,17439,0,82571
1723,1723,17439,0,82571
1724,1724,17439,0,82571
1725,1725,17439,0,82571
1726,1726,17439,0,82571
1727,1727,17439,0,82571
1728,1728,17439,0,82571
1729,1729,17439,0,82571
1730,1730,17439,0,82571
1731,1731,17439,0,82571
1732,1732,17439,0,82571
1733,1733,17439,0,82571
1734,1734,17439,0,82571
1735,1735,17439,0,82571
1736,1736,17439,0,82571
1737,1737,17439,0,82571
1738,1738,17439,0,82571
1739,1739,17439,0,82571
1740,1740,17439,0,82571
1741,1741,17439,0,82571
1742,1742,17439,0,82571
1743,1743,17439,0,82571
1744,1744,17439,0,82571
1745,1745,17439,0,82571
1746,1746,17439,0,82571
1747,1747,17439,0,82571
1748,1748,17439,0,82571
1749,1749,17439,0,82571
1750,1750,17439,0,82571
1751,1751,17439,0,82571
1752,1752,17439,0,82571
1753,1753,17439,0,82571
1754,1754,17439,0,82571
1755,1755,17439,0,82571
1756,1756,17439,0,82571
1757,1757,17439,0,82571
1758,1758,17439,0,82571
1759,1759,17439,0,82571
1760,1760,17439,0,82571
1761,1761,17439,0,82571
1762,1762,17439,0,82571
1763,1763,17439,0,82571
1764,1764,17439,0,82571
1765,1765,17439,0,82571
1766,1766,17439,0,82571
1767,1767,17439,0,82571
1768,1768,17439,0,82571
1769,1769,17439,0,82571
1770,1770,17439,0,82571
1771,1771,17439,0,82571
1772,1772,17439,0,82571
1773,1773,17439,0,82571
1774,1774,17439,0,82571
1775,1775,17439,0,82571
1776,1776,17439,0,82571
1777,1777,17439,0,82571
1778,1778,17439,0,82571
1779,1779,17439,0,82571
1780,1780,17439,0,82571
1781,1781,17439,0,82571
1782,1782,17439,0,82571
1783,1783,17439,0,82571
1784,1784,17439,0,82571
1785,1785,17439,0,82571
1786,1786,17439,0,82571
1787,1787,17439,0,82571
1788,1788,17439,0,82571
1789,1789,17439,0,82571
1790,1790,17439,0,82571
1791,1791,17439,0,82571
1792,1792,17439,0,82571
1793,1793,17439,0,82571
1794,1794,17439,0,82571
1795,1795,17439,0,82571
1796,1796,17439,0,82571
1797,1797,17439,0,82571
1798,1798,17439,0,82571
1799,1799,17439,0,82571
1800,1800,17439,0,82571
1801,1801,17439,0,82571
1802,1802,17439,0,82571
1803,1803,17439,0,82571
1804,1804,17439,0,82571
1805,1805,17439,0,82571
1806,1806,17439,0,82571
1807,1807,17439,0,82571
1808,1808,17439,0,82571
1809,1809,17439,0,82571
1810,1810,17439,0,82571
1811,1811,17439,0,82571
1812,1812,17439,0,82571
1813,1813,17439,0,82571
1814,1814,17439,0,82571
1815,1815,17439,0,82571
1816,1816,17439,0,82571
1817,1817,17439,0,82571
1818,1818,17439,0,82571
1819,1819,17439,0,82571
1820,1820,17439,0,82571
1821,1821,17439,0,82571
1822,1822,17439,0,82571
1823,1823,17439,0,82571
1824,1824,17439,0,82571
1825,1825,17439,0,82571
1826,1826,17439,0,82571
1827,1827,17439,0,82571
1828,1828,17439,0,82571
1829,1829,17439,0,82571
1830,1830,17439,0,82571
1831,1831,17439,0,82571
1832,1832,17439,0,82571
1833,1833,17439,0,82571
1834,1834,17439,0,82571
1835,1835,17439,0,82571
1836,1836,17439,0,82571
1837,1837,17439,0,82571
1838,1838,17439,0,82571
1839,1839,17439,0,82571
1840,1840,17439,0,82571
1841,1841,17439,0,82571
1842,1842,17439,0,82571
1843,1843,17439,0,82571
1844,1844,17439,0,82571
1845,1845,17439,0,82571
1846,1846,17439,0,82571
1847,1847,17439,0,82571
1848,1848,17439,0,82571
1849,1849,17439,0,82571
1850,1850,17439,0,82571
1851,1851,17439,0,82571
1852,1852,17439,0,82571
1853,1853,17439,0,82571
1854,1854,17439,0,82571
1855,1855,17439,0,82571
1856,1856,17439,0,82571
1857,1857,17439,0,82571
1858,1858,17439,0,82571
1859,1859,17439,0,82571
1860,1860,17439,0,82571
1861,1861,17439,0,82571
1862,1862,17439,0,82571
1863,1863,17439,0,82571
1864,1864,17439,0,82571
1865,1865,17439,0,82571
1866,1866,17439,0,82571
1867,1867,17439,0,82571
1868,1868,17439,0,82571
1869,1869,17439,0,82571
1870,1870,17439,0,82571
1871,1871,17439,0,82571
1872,1872,17439,0,82571
1873,1873,17439,0,82571
1874,1874,17439,0,82571
1875,1875,17439,0,82571
1876,1876,17439,0,82571
1877,1877,17439,0,82571
1878,1878,17439,0,82571
1879,1879,17439,0,82571
1880,1880,17439,0,82571
1881,1881,17439,0,82571
1882,1882,17439,0,82571
1883,1883,17439,0,82571
1884,1884,17439,0,82571
1885,1885,17439,0,82571
1886,1886,17439,0,82571
1887,1887,17439,0,82571
1888,1888,17439,0,82571
1889,1889,17439,0,82571
1890,1890,17439,0,82571
1891,1891,17439,0,82571
1892,1892,17439,0,82571
1893,1893,17439,0,82571
1894,1894,17439,0,82571
1895,1895,17439,0,82571
1896,1896,17439,0,82571
1897,1897,17439,0,82571
1898,1898,17439,0,82571
1899,1899,17439,0,82571
1900,1900,17439,0,82571
1901,1901,17439,0,82571
1902,1902,17439,0,82571
1903,1903,17439,0,82571
1904,1904,17439,0,82571
1905,1905,17439,0,82571
1906,1906,17439,0,82571
1907,1907,17439,0,82571
1908,1908,17439,0,82571
1909,1909,17439,0,82571
1910,1910,17439,0,82571
1911,1911,17439,0,82571
1912,1912,17439,0,82571
1913,1913,17439,0,82571
1914,1914,17439,0,82571
1915,1915,17439,0,82571
1916,1916,17439,0,82571
1917,1917,17439,0,82571
1918,1918,17439,0,82571
1919,1919,17439,0,82571
1920,1920,17439,0,82571
1921,1921,17439,0,82571
1922,1922,17439,0,82571
1923,1923,17439,0,82571
1924,1924,17439,0,82571
1925,1925,17439,0,82571
1926,1926,17439,0,82571
1927,1927,17439,0,82571
1928,1928,17439,0,82571
1929,1929,17439,0,82571
1930,1930,17439,0,82571
1931,1931,17439,0,82571
1932,1932,17439,0,82571
1933,1933,17439,0,82571
1934,1934,17439,0,82571
1935,1935,17439,0,82571
1936,1936,17439,0,82571
1937,1937,17439,0,82571
1938,1938,17439,0,82571
1939,1939,17439,0,82571
1940,1940,17439,0,82571
1941,1941,17439,0,82571
1942,1942,17439,0,82571
1943,1943,17439,0,82571
1944,1944,17439,0,82571
1945,1945,17439,0,82571
1946,1946,17439,0,82571
1947,1947,17439,0,82571
1948,1948,17439,0,82571
1949,1949,17439,0,82571
1950,1950,17439,0,82571
1951,1951,17439,0,82571
1952,1952,17439,0,82571
1953,1953,17439,0,82571
1954,1954,17439,0,82571
1955,1955,17439,0,82571
1956,1956,17439,0,82571
1957,1957,17439,0,82571
1958,1958,17439,0,82571
1959,1959,17439,0,82571
1960,1960,17439,0,82571
1961,1961,17439,0,82571
1962,1962,17439,0,82571
1963,1963,17439,0,82571
1964,1964,17439,0,82571
1965,1965,17439,0,82571
1966,1966,17439,0,82571
1967,1967,17439,0,82571
1968,1968,17439,0,82571
1969,1969,17439,0,82571
1970,1970,17439,0,82571
1971,1971,17439,0,82571
1972,1972,17439,0,82571
1973,1973,17439,0,82571
1974,1974,17439,0,82571
1975,1975,17439,0,82571
1976,1976,17439,0,82571
1977,1977,17439,0,82571
1978,1978,17439,0,82571
1979,1979,17439,0,82571
1980,1980,17439,0,82571
1981,1981,17439,0,82571
1982,1982,17439,0,82571
1983,1983,17439,0,82571
1984,1984,17439,0,82571
1985,1985,17439,0,82571
1986,1986,17439,0,82571
1987,1987,17439,0,82571
1988,1988,17439,0,82571
1989,1989,17439,0,82571
1990,1990,17439,0,82571
1991,1991,17439,0,82571
1992,1992,17439,0,82571
1993,1993,17439,0,82571
1994,1994,17439,0,82571
1995,1995,17439,0,82571
1996,1996,17439,0,82571
1997,1997,17439,0,82571
1998,1998,17439,0,82571
1999,1999,17439,0,82571
2000,2000,17439,0,82571
2001,2001,17439,0,82571
2002,2002,17439,0,82571
2003,2003,17439,0,82571
2004,2004,17439,0,82571
2005,2005,17439,0,82571
2006,2006,17439,0,82571
2007,2007,17439,0,82571
2008,2008,17439,0,82571
2009,2009,17439,0,82571
2010,2010,17439,0,82571
2011,2011,17439,0,82571
2012,2012,17439,0,82571
2013,2013,17439,0,82571
2014,2014,17439,0,82571
2015,2015,17439,0,82571
2016,2016,17439,0,82571
2017,2017,17439,0,82571
2018,2018,17439,0,82571
2019,2019,17439,0,82571
2020,2020,17439,0,82571
2021,2021,17439,0,82571
2022,2022,17439,0,82571
2023,2023,17439,0,82571
2024,2024,17439,0,82571
2025,2025,17439,0,82571
2026,2026,17439,0,82571
2027,2027,17439,0,82571
2028,2028,17439,0,82571
2029,2029,17439,0,82571
2030,2030,17439,0,82571
2031,2031,17439,0,82571
2032,2032,17439,0,82571
2033,2033,17439,0,82571
2034,2034,17439,0,82571
2035,2035,17439,0,82571
2036,2036,17439,0,82571
2037,2037,17439,0,82571
2038,2038,17439,0,82571
2039,2039,17439,0,82571
2040,2040,17439,0,82571
2041,2041,17439,0,82571
2042,2042,17439,0,82571
2043,2043,17439,0,82571
2044,2044,17439,0,82571
2045,2045,17439,0,82571
2046,2046,17439,0,82571
2047,2047,17439,0,82571
2048,2048,17439,0,82571
2049,2049,17439,0,82571
2050,2050,17439,0,82571
2051,2051,17439,0,82571
2052,2052,17439,0,82571
2053,2053,17439,0,82571
2054,2054,17439,0,82571
2055,2055,17439,0,82571
2056,2056,17439,0,82571
2057,2057,17439,0,82571
2058,2058,17439,0,82571
2059,2059,17439,0,82571
2060,2060,17439,0,82571
2061,2061,17439,0,82571
2062,2062,17439,0,82571
2063,2063,17439,0,82571
2064,2064,17439,0,82571
2065,2065,17439,0,82571
2066,2066,17439,0,82571
2067,2067,17439,0,82571
2068,2068,17439,0,82571
2069,2069,17439,0,82571
2070,2070,17439,0,82571
2071,2071,17439,0,82571
2072,2072,17439,0,82571
2073,2073,17439,0,82571
2074,2074,17439,0,82571
2075,2075,17439,0,82571
2076,2076,17439,0,82571
2077,2077,17439,0,82571
2078,2078,17439,0,82571
2079,2079,17439,0,82571
2080,2080,17439,0,82571
2081,2081,17439,0,82571
2082,2082,17439,0,82571
2083,2083,17439,0,82571
2084,2084,17439,0,82571
2085,2085,17439,0,82571
2086,2086,17439,0,82571
2087,2087,17439,0,82571
2088,2088,17439,0,82571
2089,2089,17439,0,82571
2090,2090,17439,0,82571
2091,2091,17439,0,82571
2092,2092,17439,0,82571
2093,2093,17439,0,82571
2094,2094,17439,0,82571
2095,2095,17439,0,82571
2096,2096,17439,0,82571
2097,2097,17439,0,82571
2098,2098,17439,0,82571
2099,2099,17439,0,82571
2100,2100,17439,0,82571
2101,2101,17439,0,82571
2102,2102,17439,0,82571
2103,2103,17439,0,82571
2104,2104,17439,0,82571
2105,2105,17439,0,82571
2106,2106,17439,0,82571
2107,2107,17439,0,82571
2108,2108,17439,0,82571
2109,2109,17439,0,82571
2110,2110,17439,0,82571
2111,2111,17439,0,82571
2112,2112,17439,0,82571
2113,2113,17439,0,82571
2114,2114,17439,0,82571
2115,2115,17439,0,82571
2116,2116,17439,0,82571
2117,2117,17439,0,82571
2118,2118,17439,0,82571
2119,2119,17439,0,82571
2120,2120,17439,0,82571
2121,2121,17439,0,82571
2122,2122,17439,0,82571
2123,2123,17439,0,82571
2124,2124,17439,0,82571
2125,2125,17439,0,82571
2126,2126,17439,0,82571
2127,2127,17439,0,82571
2128,2128,17439,0,82571
2129,2129,17439,0,82571
2130,2130,17439,0,82571
